Ano,Jogo,Gênero,Estúdio
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD
2007,The Orange Box,First-person shooter,Valve
2008,Fallout 3,Action role-playing,Bethesda Game Studios
2009,Batman: Arkham Asylum,Action-adventure,Rocksteady Studios
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego
2011,Portal 2,Puzzle-platformer,Valve
2012,The Walking Dead,Graphic adventure,Telltale Games
2013,The Last of Us,Action-adventure,Naughty Dog
2014,Destiny,Action role-playing,Bungie
2015,Metal Gear Solid V: The Phantom Pain,Action-adventure,Kojima Productions
2016,Titanfall 2,First-person shooter,Respawn Entertainment
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,God of War,Action-adventure,Santa Monica Studio
2019,Control,Action-adventure,Remedy Entertainment
2020,Hades,Action role-playing,Supergiant Games
2021,Deathloop,Action-adventure,Arkane Studios
2022,Elden Ring,Action role-playing,FromSoftware
2023,Baldur's Gate 3,Role-playing,Larian Studios
2024,Helldivers 2,Third-person shooter,Arrowhead Game Studios
1987,Darius,Scrolling shooter,Taito
1988,Gradius II,Scrolling shooter,Konami
1989,Tetris,Puzzle,Sega
1990,Final Fight,Beat 'em up,Capcom
1991,Street Fighter II: The World Warrior,Fighting,Capcom
1992,Street Fighter II Dash (Champion Edition),Fighting,Capcom
1993,Samurai Shodown,Fighting,SNK
1994,The King of Fighters '94,Fighting,SNK
1995,Virtua Fighter 2,Fighting,Sega AM2
1996,Street Fighter Zero 2 (Street Fighter Alpha 2),Fighting,Capcom
1997,Vampire Savior (Darkstalkers 3),Fighting,Capcom
1998,Psychic Force 2012,Fighting,Taito
2005,Resident Evil 4,Survival horror,Capcom
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD
2007,Super Mario Galaxy,Platformer,Nintendo EAD
2008,Grand Theft Auto IV,Action-adventure,Rockstar North
2009,Call of Duty: Modern Warfare 2,First-person shooter,Infinity Ward
2010,Mass Effect 2,Action role-playing,BioWare
2011,Uncharted 3: Drake's Deception,Action-adventure,Naughty Dog
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games
2013,The Last of Us,Action-adventure,Naughty Dog
2014,Hearthstone,Card game,Blizzard Entertainment
2015,Bloodborne,Action role-playing,FromSoftware
2008,Grand Theft Auto IV,Action-adventure,Rockstar North
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog
2010,Mass Effect 2,Action role-playing,BioWare
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2012,XCOM: Enemy Unknown,Turn-based tactics,Firaxis Games
